Date,Open,High,Low,Close,Volume,Adj Close
2017-01-19,226.839996,227.00,225.410004,225.910004,65357500,225.910004
2017-01-18,226.539993,226.800003,225.899994,226.75,51146400,226.75
2017-01-17,226.309998,226.779999,225.800003,226.25,59261200,226.25
2017-01-13,226.729996,227.399994,226.690002,227.050003,61907200,227.050003
2017-01-12,226.50,226.75,224.960007,226.529999,70354400,226.529999
2017-01-11,226.360001,227.100006,225.589996,227.100006,71423200,227.100006
2017-01-10,226.479996,227.449997,226.009995,226.460007,61045000,226.460007
2017-01-09,226.910004,227.070007,226.419998,226.460007,46265300,226.460007
2017-01-06,226.529999,227.75,225.899994,227.210007,71559900,227.210007
2017-01-05,226.270004,226.580002,225.479996,226.399994,78379000,226.399994
2017-01-04,225.619995,226.75,225.610001,226.580002,78744400,226.580002
2017-01-03,225.039993,225.830002,223.880005,225.240005,91366500,225.240005
2016-12-30,224.729996,224.830002,222.729996,223.529999,108998300,223.529999
2016-12-29,224.479996,224.889999,223.839996,224.350006,48696100,224.350006
2016-12-28,226.570007,226.589996,224.270004,224.399994,64095000,224.399994
2016-12-27,226.020004,226.729996,226.00,226.270004,42672500,226.270004
2016-12-23,225.429993,225.720001,225.210007,225.710007,36697800,225.710007
2016-12-22,225.600006,225.740005,224.919998,225.380005,56219100,225.380005
2016-12-21,226.25,226.449997,225.770004,225.770004,67909000,225.770004
2016-12-20,226.149994,226.570007,225.880005,226.399994,89838800,226.399994
2016-12-19,225.25,226.020004,225.080002,225.529999,90341100,225.529999
2016-12-16,226.009995,226.080002,224.669998,225.039993,156420200,225.039993
2016-12-15,226.160004,227.809998,225.889999,226.809998,124972600,225.480992
2016-12-14,227.410004,228.229996,225.369995,225.880005,142501800,224.556449
2016-12-13,227.020004,228.339996,227.00,227.759995,110477500,226.425423
2016-12-12,226.399994,226.960007,225.759995,226.25,102016100,224.924276
2016-12-09,225.410004,226.529999,225.369995,226.509995,88005800,225.182747
2016-12-08,224.570007,225.699997,224.259995,225.149994,99714400,223.830715
2016-12-07,221.520004,224.669998,221.380005,224.600006,110738100,223.28395
2016-12-06,221.220001,221.740005,220.660004,221.699997,59877400,220.400934
2016-12-05,220.649994,221.399994,220.419998,221.00,67837800,219.705039
2016-12-02,219.669998,220.25,219.259995,219.679993,74840300,218.392766
2016-12-01,220.729996,220.729996,219.149994,219.570007,79040500,218.283425
2016-11-30,221.630005,221.820007,220.309998,220.380005,113291800,219.088676
2016-11-29,220.520004,221.440002,220.169998,220.910004,69886700,219.61557
2016-11-28,221.160004,221.479996,220.360001,220.479996,76572500,219.188081
2016-11-25,221.100006,221.559998,221.009995,221.520004,37872300,220.221996
2016-11-23,219.979996,220.759995,219.75,220.699997,56620200,219.406793
2016-11-22,220.509995,220.789993,219.729996,220.580002,67429000,219.287501
2016-11-21,219.169998,220.179993,219.00,220.149994,72402600,218.860013
2016-11-18,219.070007,219.270004,218.289993,218.50,86265800,217.219687
2016-11-17,218.050003,219.059998,217.919998,218.990005,69797200,217.706822
2016-11-16,217.559998,218.139999,217.419998,217.869995,65617700,216.593374
2016-11-15,217.039993,218.279999,216.800003,218.279999,91652600,217.000975
2016-11-14,217.029999,217.270004,215.720001,216.589996,94580000,215.320876
2016-11-11,216.080002,216.699997,215.320007,216.419998,100552700,215.151874
2016-11-10,217.300003,218.309998,215.220001,216.919998,172113300,215.648944
2016-11-09,212.369995,217.100006,212.339996,216.380005,258429000,215.112115
2016-11-08,212.690002,214.770004,212.380005,214.110001,106772100,212.855412
2016-11-07,208.550003,213.190002,208.550003,213.149994,109794900,211.90103
2016-11-04,208.910004,209.889999,208.380005,208.550003,109122100,207.327993
2016-11-03,209.990005,210.240005,208.460007,208.779999,88939300,207.556641
2016-11-02,210.649994,211.100006,209.229996,209.740005,103330800,208.511023
2016-11-01,212.929993,212.990005,209.600006,211.009995,122781800,209.77357
2016-10-31,212.929993,213.190002,212.360001,212.550003,61272500,211.304555
2016-10-28,213.139999,213.929993,211.710007,212.539993,140623200,211.294604
2016-10-27,214.580002,214.619995,213.080002,213.169998,77220200,211.920917
2016-10-26,213.210007,214.419998,212.929993,213.740005,75705500,212.487584
2016-10-25,214.679993,214.979996,213.979996,214.169998,66542300,212.915058
2016-10-24,215.00,215.320007,214.479996,214.889999,60146600,213.63084
2016-10-21,213.880005,214.080002,212.759995,213.979996,89089100,212.726168
2016-10-20,213.869995,214.529999,213.110001,213.880005,73639800,212.626763
2016-10-19,214.020004,214.639999,213.600006,214.279999,66519200,213.024414
2016-10-18,214.240005,214.309998,213.270004,213.710007,76869700,212.457761
2016-10-17,213.089996,213.389999,212.169998,212.380005,58275700,211.135553
2016-10-14,214.149994,214.690002,213.029999,213.119995,93346200,211.871207
2016-10-13,212.160004,213.589996,211.210007,213.009995,101357000,211.761851
2016-10-12,213.589996,214.320007,213.009995,213.710007,73866100,212.457761
2016-10-11,215.660004,215.740005,212.580002,213.429993,130367400,212.179388
2016-10-10,216.160004,216.699997,215.990005,216.160004,51855000,214.893402
2016-10-07,216.100006,216.300003,214.190002,215.039993,89788300,213.779955
2016-10-06,215.369995,216.039993,214.740005,215.779999,62927400,214.515624
2016-10-05,215.410004,216.130005,215.330002,215.630005,72816000,214.366509
2016-10-04,215.910004,216.169998,213.990005,214.679993,119948100,213.422064
2016-10-03,215.820007,216.039993,215.039993,215.779999,83512100,214.515624
2016-09-30,215.649994,217.119995,215.360001,216.300003,117202900,215.032582
2016-09-29,216.399994,216.869995,214.039993,214.679993,128070600,213.422064
2016-09-28,215.830002,216.820007,214.710007,216.639999,87411000,215.370586
2016-09-27,214.050003,215.679993,213.619995,215.570007,78494800,214.306863
2016-09-26,215.020004,215.229996,214.009995,214.240005,89827300,212.984655
2016-09-23,216.720001,216.880005,215.880005,215.990005,73630900,214.7244
2016-09-22,217.00,217.529999,216.710007,217.179993,76678700,215.907415
2016-09-21,214.240005,216.029999,213.440002,215.820007,110284400,214.555398
2016-09-20,214.410004,214.589996,213.380005,213.419998,69665300,212.169452
2016-09-19,214.130005,214.880005,213.029999,213.410004,80250500,212.159516
2016-09-16,213.479996,213.690002,212.570007,213.369995,155236400,212.119742
2016-09-15,212.960007,215.729996,212.75,215.279999,134427900,212.942899
2016-09-14,213.289993,214.699997,212.50,213.149994,134185500,210.836018
2016-09-13,214.839996,215.149994,212.50,213.229996,182828800,210.915151
2016-09-12,212.389999,216.809998,212.309998,216.339996,168110900,213.991389
2016-09-09,216.970001,217.029999,213.25,213.279999,221589100,210.964611
2016-09-08,218.619995,218.940002,218.149994,218.509995,74102900,216.13783
2016-09-07,218.839996,219.220001,218.300003,219.009995,76554900,216.632402
2016-09-06,218.699997,219.119995,217.860001,219.029999,56702100,216.652189
2016-09-02,218.389999,218.869995,217.699997,218.369995,79293900,215.99935
2016-09-01,217.369995,217.729996,216.029999,217.389999,97844200,215.029994
2016-08-31,217.610001,217.75,216.470001,217.380005,85269500,215.020108
2016-08-30,218.259995,218.589996,217.350006,218.00,58114500,215.633372
2016-08-29,217.440002,218.669998,217.399994,218.360001,70502200,215.989464
2016-08-26,217.919998,219.119995,216.25,217.289993,122506300,214.931073
2016-08-25,217.399994,218.190002,217.220001,217.699997,69224800,215.336626
2016-08-24,218.800003,218.910004,217.360001,217.850006,71728900,215.485006
2016-08-23,219.25,219.600006,218.899994,218.970001,53399200,216.592843
2016-08-22,218.259995,218.800003,217.830002,218.529999,61368800,216.157617
2016-08-19,218.309998,218.75,217.740005,218.539993,75443000,216.167503
2016-08-18,218.339996,218.899994,218.210007,218.860001,52989300,216.484036
2016-08-17,218.00,218.529999,217.020004,218.369995,75134300,215.99935
2016-08-16,218.600006,218.679993,217.960007,217.960007,53213600,215.593813
2016-08-15,218.889999,219.50,218.880005,219.089996,49813500,216.711535
2016-08-12,218.289993,218.710007,217.990005,218.460007,61313500,216.088385
2016-08-11,218.259995,218.940002,217.949997,218.649994,72504300,216.276309
2016-08-10,218.309998,218.399994,217.229996,217.639999,57941100,215.27728
2016-08-09,218.130005,218.759995,217.800003,218.179993,51251700,215.811411
2016-08-08,218.399994,218.520004,217.740005,218.050003,39906500,215.682832
2016-08-05,216.410004,218.229996,216.410004,218.179993,71892200,215.811411
2016-08-04,216.309998,216.779999,214.25,216.410004,46585500,214.060637
2016-08-03,215.479996,216.25,215.130005,216.179993,53993600,213.833123
2016-08-02,216.649994,216.830002,214.570007,215.550003,92295500,213.209972
2016-08-01,217.190002,217.649994,216.410004,216.940002,73311400,214.584882
2016-07-29,216.460007,217.539993,216.130005,217.119995,79519400,214.76292
2016-07-28,216.289993,217.110001,215.75,216.770004,65035700,214.416729
2016-07-27,217.190002,217.270004,215.619995,216.520004,84083900,214.169443
2016-07-26,216.529999,217.169998,215.759995,216.75,70080500,214.396942
2016-07-25,217.00,217.059998,215.970001,216.649994,55873100,214.298022
2016-07-22,216.410004,217.300003,216.100006,217.240005,62787500,214.881628
2016-07-21,216.960007,217.220001,215.75,216.270004,67777300,213.922157
2016-07-20,216.190002,217.369995,216.190002,217.089996,58159500,214.733247
2016-07-19,215.919998,216.229996,215.630005,216.190002,54345700,213.843024
2016-07-18,215.970001,216.600006,215.669998,216.410004,58725900,214.060637
2016-07-15,216.779999,217.009995,215.309998,215.830002,107155400,213.486931
2016-07-14,216.399994,216.669998,215.660004,216.119995,91230900,213.773777
2016-07-13,215.440002,215.449997,214.350006,214.919998,87324100,212.586807
2016-07-12,214.529999,215.300003,213.429993,214.949997,101275600,212.61648
2016-07-11,213.190002,214.070007,212.949997,213.399994,73633900,211.083304
2016-07-08,211.050003,212.940002,210.779999,212.649994,133971000,210.341446
2016-07-07,209.869995,210.649994,208.630005,209.529999,85593800,207.255322
2016-07-06,207.830002,209.800003,207.059998,209.660004,96021500,207.383915
2016-07-05,208.949997,209.080002,207.710007,208.410004,109803700,206.147485
2016-07-01,209.479996,210.490005,209.289993,209.919998,106055300,207.641087
2016-06-30,207.210007,209.539993,206.559998,209.479996,165021900,207.205862
2016-06-29,204.839996,206.929993,204.720001,206.660004,137328600,204.416484
2016-06-28,201.479996,203.229996,201.119995,203.199997,159382400,200.994039
2016-06-27,201.589996,201.600006,198.649994,199.600006,230775800,197.43313
2016-06-24,203.630005,210.850006,202.720001,203.240005,333444400,201.033613
2016-06-23,209.809998,210.869995,209.270004,210.809998,102731400,208.521425
2016-06-22,208.649994,209.50,207.929993,208.100006,95560500,205.840853
2016-06-21,208.300003,208.919998,207.779999,208.440002,72461700,206.177159
2016-06-20,208.820007,209.610001,207.75,207.850006,82789600,205.593567
2016-06-17,207.169998,207.199997,205.75,206.520004,117055700,204.278004
2016-06-16,207.75,208.570007,205.589996,208.369995,149533100,205.04162
2016-06-15,208.039993,209.360001,207.529999,207.75,109124500,204.431528
2016-06-14,208.00,208.740005,206.919998,208.039993,125059300,204.71689
2016-06-13,209.360001,210.369995,208.350006,208.449997,117751200,205.120344
2016-06-10,210.460007,210.860001,209.429993,210.070007,113829200,206.714477
2016-06-09,211.509995,212.220001,211.190002,212.080002,73786900,208.692365
2016-06-08,211.839996,212.520004,211.690002,212.369995,66170900,208.977727
2016-06-07,211.529999,212.339996,211.50,211.679993,60974800,208.298746
2016-06-06,210.699997,211.770004,210.509995,211.350006,64887000,207.97403
2016-06-03,210.25,210.690002,208.860001,210.279999,101757100,206.921115
