Description,Invoice Lines,DimensionLines,TimeChecksum,TimeWithoutChecksum,Database Server
"",10000,100,00:00:09,00:00:11,"RA-Dev-Sql01"
"",10000,10000,00:00:14,00:00:14,"RA-Dev-Sql01"
"",100000,100000,00:01:19,00:01:20,"RA-Dev-Sql01"
"",1000000,1000000,00:11:41,00:14:51,"RA-Dev-Sql01"
"",10000000,10000000,03:35:04,nan,"RA-Dev-Sql01"
